"gene_name","poison_exon","E_junc","case","stop_codon","range_tau","min_tau","range_psi1","cor_psi1_tau","cor_psi1_tau_pval","cor_psi1_tau_qval","PAS","PAS_source","pAread","polyASite","I2_split_reads"
"HSPA12B","chr20_3751235_3751389_+","chr20_3750907_3751511_+","III",3751242,0.344,0.656,0.028,-0.103,0.244,0.447,"3751399","TE",NA,NA,934
"IDH3B","chr20_2659109_2659312_-","chr20_2658837_2659525_-","III",2659253,0.745,0.255,0.514,-0.141,0.162,0.331,"2659015","TE",NA,NA,7338
"IFI44","chr1_78661386_78661456_+","chr1_78660654_78662704_+","III",78661391,0,1,0.002,NA,NA,NA,"78661406","TE",NA,NA,11709
"IFT20","chr17_28328878_28329068_-","chr17_28328733_28329173_-","III",28329038,0.095,0.905,0.039,0.472,1,1,"28328887","TE",NA,NA,371
"IFT81","chr12_110167871_110168241_+","chr12_110163065_110180422_+","III",110167978,0.071,0.929,0.07,-0.186,0.097,0.227,"110169182","TE",NA,NA,1425
"IL17D","chr13_20717098_20717369_+","chr13_20704291_20721636_+","II",20717155,0,1,0.013,NA,NA,NA,"20720501","polyASite,pAread",164,0.033,NA
"ILF3","chr19_10684416_10685059_+","chr19_10683970_10687346_+","III",10684465,0.213,0.315,0.248,-0.957,0,0,"10685765","TE",NA,NA,138
"ILF3","chr19_10684859_10685059_+","chr19_10683970_10687346_+","III",10684872,0.213,0.315,0.029,-0.697,0,0,"10685765","TE",NA,NA,138
"IMMP1L","chr11_31448944_31449091_-","chr11_31433570_31456260_-","III",31449038,0,1,0.026,NA,NA,NA,"31449030","TE",NA,NA,1951
"IMMP1L","chr11_31452718_31453092_-","chr11_31449091_31456260_-","III",31453078,0.285,0.085,0.273,-0.131,0.22,0.414,"31452545","TE",NA,NA,3725
"INPP5A","chr10_132754244_132754385_+","chr10_132749845_132765773_+","III",132754264,0.074,0.926,0.146,-0.408,0.001,0.007,"132757333","TE",NA,NA,913
"ITIH5","chr10_7571837_7572398_-","chr10_7569784_7573142_-","III",7572322,0,1,0.462,NA,NA,NA,"7571405,7571717","TE",NA,NA,4246
"ITSN2","chr2_24263284_24265092_-","chr2_24261742_24270671_-","II",24265063,0.007,0.993,0.19,0.144,0.844,1,"24263731","pAread",477,0,NA
"KANSL3","chr2_96600066_96600503_-","chr2_96598160_96601643_-","III",96600474,0.097,0.028,1,-0.561,0,0,"96599653","TE",NA,NA,208
"KATNAL2","chr18_47098173_47098663_+","chr18_47077461_47099243_+","I",47098419,0.582,0.302,0.692,0.119,0.757,1,"47098931","TE,polyASite,pAread",638,0.172,NA
"KCNH6","chr17_63542690_63542985_+","chr17_63542434_63543576_+","III",63542722,0.35,0.65,0.802,NA,NA,NA,"63543565","TE",NA,NA,426
"KCNMB3","chr3_179242809_179243284_-","chr3_179240064_179244495_-","I",179242904,0.535,0.465,0.007,-0.166,0.209,0.402,"179242759","TE,pAread",360,0,NA
"KIF3C","chr2_25938235_25938348_-","chr2_25930063_25951789_-","II",25938297,0.01,0.99,0,NA,NA,NA,"25931970","pAread",115,0,NA
"KLHDC1","chr14_49751010_49751145_+","chr14_49743805_49751586_+","III",49751055,0,1,0,NA,NA,NA,"49751106","TE",NA,NA,2331
"KLHL22","chr22_20456220_20456467_-","chr22_20446676_20457808_-","II",20456354,0,1,0.063,NA,NA,NA,"20448552","polyASite,pAread",78,0.046,NA
"KLHL4","chrX_87666475_87666880_+","chrX_87664935_87669329_+","II",87666534,0.579,0.377,0.056,0.011,0.515,0.837,"87667911","polyASite,pAread",2640,3.365,NA
"LDAF1","chr16_21177137_21177327_+","chr16_21174148_21178797_+","III",21177158,0.252,0.023,0.5,0.514,1,1,"21177644","TE",NA,NA,759
"LDAF1","chr16_21177162_21177327_+","chr16_21174148_21178797_+","III",21177234,0.252,0.023,0.643,0.611,1,1,"21177643","TE",NA,NA,759
"LEPR","chr1_65633152_65633902_+","chr1_65622981_65636191_+","III",65633169,0.313,0.056,0.293,-0.633,0,0,"65635428","TE",NA,NA,102
"LGALS8","chr1_236545162_236545293_+","chr1_236544915_236548012_+","III",236545221,0,1,0.023,NA,NA,NA,"236547908","TE",NA,NA,1405
"LIPC","chr15_58565179_58565484_+","chr15_58563723_58568716_+","III",58565290,0.286,0.553,0.037,-0.154,0.402,0.683,"58566471","TE",NA,NA,384
"LRCH1","chr13_46741642_46742243_+","chr13_46733998_46750540_+","III",46741848,0,1,0.414,NA,NA,NA,"46744898","TE",NA,NA,126
"LRP11","chr6_149841204_149842676_-","chr6_149837463_149842983_-","III",149842612,0.088,0.912,0.438,-0.253,0.045,0.122,"149840438","TE",NA,NA,394
"LRP5","chr11_68404223_68404416_+","chr11_68403699_68406524_+","II",68404359,0,1,0.085,NA,NA,NA,"68405505","pAread",263,0,NA
"LRRC75B","chr22_24592217_24592423_-","chr22_24589949_24592863_-","II",24592376,0,1,0.286,NA,NA,NA,"24591090","pAread",144,0,NA
"LRRFIP1","chr2_237762603_237764211_+","chr2_237760205_237769943_+","III",237764140,0.595,0.405,0.876,-0.875,0,0,"237765915","TE",NA,NA,779
"LTA4H","chr12_96011634_96011865_-","chr12_96009148_96013188_-","III",96011802,0,1,0.142,NA,NA,NA,"96011749","TE",NA,NA,498
"LUC7L3","chr17_50751297_50751375_+","chr17_50750852_50752200_+","III",50751321,0.034,0.966,0.604,-0.221,0.06,0.147,"50751569","TE",NA,NA,2958
"LURAP1L","chr9_12777200_12777379_+","chr9_12776027_12821386_+","III",12777229,0,1,0.079,NA,NA,NA,"12777578","TE",NA,NA,1098
"MAGOHB","chr12_10612640_10612978_-","chr12_10610680_10613439_-","II",10612827,0,1,0.155,NA,NA,NA,"10611996","polyASite,pAread",76,0.005,NA
"MAN2A1","chr5_109830834_109830980_+","chr5_109823837_109842328_+","III",109830922,0.074,0.926,0.059,0.19,0.897,1,"109830980","TE",NA,NA,277
"MAP2K4","chr17_12125621_12125735_+","chr17_12125371_12129139_+","III",12125656,0,1,0.106,NA,NA,NA,"12125956","TE",NA,NA,316
"MAP2K4","chr17_12129494_12129584_+","chr17_12129287_12139839_+","II",12129503,0.049,0.951,0.033,0.346,0.994,1,"12129973","polyASite,pAread",226,0.018,NA
"MBOAT7","chr19_54178143_54178228_-","chr19_54174431_54178765_-","III",54178222,0,1,0.03,NA,NA,NA,"54178135","TE",NA,NA,19173
"MDGA1","chr6_37641737_37642049_-","chr6_37638667_37643809_-","II",37642012,0.149,0.851,0.386,0.461,0.999,1,"37641642","polyASite,pAread",73,0.022,NA
"MDH1B","chr2_206745277_206745369_-","chr2_206741382_206745622_-","II",206745359,0.575,0.079,0.922,0.682,0.999,1,"206742713","pAread",148,0,NA
"ME3","chr11_86440918_86441440_-","chr11_86435698_86442821_-","I",86441279,0.422,0.047,0,-0.217,0.063,0.152,"86441085","TE,polyASite,pAread",38530,13.94,NA
"ME3","chr11_86462566_86462677_-","chr11_86457759_86465091_-","II",86462652,0.508,0.172,0.031,-0.181,0.105,0.234,"86462027","polyASite,pAread",100,0.011,NA
"MEGF11","chr15_65921989_65922107_-","chr15_65918094_65922338_-","I",65922055,0.439,0.561,0.499,-0.928,0,0,"65921675","TE,polyASite,pAread",208,0.132,NA
"MEI1","chr22_41767576_41767703_+","chr22_41763321_41770686_+","III",41767608,0,1,0.052,NA,NA,NA,"41767698","TE",NA,NA,637
"METTL25","chr12_82474501_82474583_+","chr12_82456820_82476644_+","I",82474521,0,1,0.01,NA,NA,NA,"82476635","TE",0,0,NA
"METTL4","chr18_2540667_2540861_-","chr18_2539145_2544195_-","II",2540785,0,1,0.134,NA,NA,NA,"2539471","pAread",101,0,NA
"MFGE8","chr15_88902218_88904162_-","chr15_88901735_88905757_-","III",88904116,0,1,0.041,NA,NA,NA,"88902183","TE",NA,NA,642
"MFGE8","chr15_88903937_88904162_-","chr15_88901735_88905757_-","III",88904116,0,1,0.041,NA,NA,NA,"88902183","TE",NA,NA,227
"MIPEP","chr13_23798724_23798855_-","chr13_23760217_23805950_-","III",23798838,0.071,0.929,0.157,-0.054,0.354,0.615,"23798217","TE",NA,NA,8902
"MMAB","chr12_109561243_109561329_-","chr12_109561104_109561420_-","II",109561327,0,1,0.133,NA,NA,NA,"109561326","polyASite,pAread",58,0.06,NA
"MMP28","chr17_35766197_35766894_-","chr17_35756419_35767752_-","I",35766500,0.601,0.031,0.068,-0.208,0.105,0.234,"35765848","TE,polyASite,pAread",10837,3.67,NA
"MMS22L","chr6_97194305_97194438_-","chr6_97186690_97228894_-","III",97194435,0,1,0.016,NA,NA,NA,"97194316","TE",NA,NA,133
"MOGAT2","chr11_75730194_75730427_+","chr11_75728989_75731132_+","III",75730354,0,1,0.114,NA,NA,NA,"75730702","TE",NA,NA,800
"MRI1","chr19_13769578_13769706_+","chr19_13769048_13772121_+","III",13769597,0,1,0.016,NA,NA,NA,"13769705","TE",NA,NA,2880
"MRPL43","chr10_100986299_100986572_-","chr10_100984074_100986749_-","III",100986543,0.342,0.025,0.304,0.279,0.976,1,"100986269","TE",NA,NA,186
"MTHFD1L","chr6_151069035_151069137_+","chr6_151037117_151092467_+","I",151069052,0.121,0.879,0.029,0.105,0.765,1,"151071817","TE,polyASite,pAread",262,0.129,NA
"MTMR1","chrX_150735464_150735627_+","chrX_150732730_150736595_+","III",150735499,0.018,0.982,0.097,0.122,0.802,1,"150735701","TE",NA,NA,297
"MTMR1","chrX_150735464_150736004_+","chrX_150732730_150736595_+","III",150735499,0.018,0.982,0.097,0.122,0.802,1,"150735701","TE",NA,NA,385
"MTMR1","chrX_150751030_150751240_+","chrX_150750843_150755689_+","I",150751080,0.314,0.686,0.346,-0.552,0,0,"150752498","TE,polyASite,pAread",988,0.526,NA
"MTRES1","chr6_107040381_107040524_+","chr6_107040230_107044260_+","I",107040384,0.066,0.934,0.259,-0.253,0.037,0.108,"107040907","TE,polyASite,pAread",3374,4.046,NA
"MYEF2","chr15_48162677_48162893_-","chr15_48159804_48165933_-","III",48162795,0,1,0.686,NA,NA,NA,"48162719","TE",NA,NA,8589
"MZT2A","chr2_131483964_131484218_-","chr2_131472182_131491876_-","III",131484061,0.156,0.017,0.133,-0.965,0,0,"131483960","TE",NA,NA,1257
"NAMPT","chr7_106258725_106258875_-","chr7_106254504_106261588_-","II",106258837,0,1,0.006,NA,NA,NA,"106256233","pAread",1511,0,NA
"NDUFA10","chr2_239987516_239987578_-","chr2_239961186_239990074_-","I",239987570,0.022,0.978,0.015,0.162,0.872,1,"239972625","TE,polyASite,pAread",673,0.183,NA
"NDUFA11","chr19_5894633_5894854_-","chr19_5893290_5896453_-","III",5894742,0.015,0.001,0.011,-0.7,0,0,"5894675","TE",NA,NA,109
"NDUFA3","chr19_54106811_54106970_+","chr19_54106011_54108440_+","I",54106902,0.095,0.012,0.013,-0.028,0.424,0.707,"54106881","TE,polyASite,pAread",20794,117.912,NA
"NDUFAF1","chr15_41394105_41394358_-","chr15_41388522_41394859_-","II",41394332,0.057,0.943,0.309,-0.308,0.014,0.048,"41389437","polyASite,pAread",3398,0.841,NA
"NECTIN3","chr3_111133635_111134479_+","chr3_111126335_111144899_+","III",111134215,0.705,0.123,0.688,-0.915,0,0,"111137549,111137560","TE",NA,NA,5073
"NECTIN3","chr3_111133661_111134205_+","chr3_111126335_111144899_+","III",111133692,0.705,0.123,0.443,0.666,1,1,"111137560","TE",NA,NA,473
"NECTIN3","chr3_111133661_111134479_+","chr3_111126335_111144899_+","III",111133692,0.705,0.123,0.443,0.666,1,1,"111137560","TE",NA,NA,5073
"NEK11","chr3_131184702_131184857_+","chr3_131170887_131228528_+","III",131184751,0.651,0.349,0.446,-0.039,0.409,0.687,"131184773","TE",NA,NA,143
"NFX1","chr9_33347663_33347942_+","chr9_33347117_33351560_+","III",33347740,0.249,0.223,0.303,-0.795,0,0,"33348731","TE",NA,NA,3695
"NFX1","chr9_33347666_33347942_+","chr9_33347117_33351560_+","III",33347740,0.249,0.223,0.231,-0.73,0,0,"33347937,33347938","TE",NA,NA,3695
"NHLRC2","chr10_113907226_113907359_+","chr10_113905036_113908280_+","III",113907233,0.074,0.926,0.181,0.209,0.896,1,"113907243","TE",NA,NA,786
"NMRAL1","chr16_4463420_4463512_-","chr16_4461959_4463660_-","I",4463477,0.185,0.815,0.058,-0.371,0.004,0.015,"4463041","TE",0,0,NA
"NMT2","chr10_15109040_15109215_-","chr10_15106698_15109702_-","III",15109195,0.461,0.308,0.192,-0.345,0.007,0.026,"15107630","TE",NA,NA,665
"NOP56","chr20_2657373_2657488_+","chr20_2657218_2657929_+","II",2657390,0.176,0.824,0.131,0.549,1,1,"2657914","polyASite",0,1.097,NA
"NPTN","chr15_73569714_73569806_-","chr15_73563583_73570150_-","II",73569790,0.299,0.033,0.916,-0.302,0.016,0.052,"73567004","pAread",968,0,NA
"NRN1L","chr16_67885974_67886353_+","chr16_67885854_67888667_+","III",67886259,0.063,0,0,NA,NA,NA,"67886368","TE",NA,NA,163
"NRP1","chr10_33194581_33194780_-","chr10_33192418_33197650_-","III",33194713,0.372,0.599,0.479,-0.492,0,0.001,"33194367,33194383","TE",NA,NA,318
"NSMCE4A","chr10_121961843_121962107_-","chr10_121961517_121963238_-","III",121962001,0.13,0.87,0.119,-0.311,0.013,0.047,"121961753","TE",NA,NA,7202
"NT5DC1","chr6_116237396_116237639_+","chr6_116237084_116238187_+","I",116237488,0.089,0.872,0.028,0.172,0.887,1,"116238149","TE",0,0,NA
"NTN5","chr19_48662500_48663226_-","chr19_48662041_48663463_-","III",48663177,0.534,0.466,0.592,0.538,0.971,1,"48662475","TE",NA,NA,1454
"NUDCD3","chr7_44481292_44481461_-","chr7_44427703_44484968_-","II",44481458,0,1,0.017,NA,NA,NA,"44468306","polyASite,pAread",119,24.738,NA
"NUP210","chr3_13347090_13347368_-","chr3_13343303_13351879_-","III",13347348,0,1,0.022,NA,NA,NA,"13346033","TE",NA,NA,2094
"NVL","chr1_224267004_224267223_-","chr1_224250318_224268034_-","II",224267219,0.046,0.954,0.157,0.231,0.948,1,"224266345","polyASite,pAread",282,0.044,NA
"PABIR3","chrX_134831636_134833128_+","chrX_134829282_134838727_+","III",134831653,0.377,0.623,0.824,-1,0.042,0.118,"134833189","TE",NA,NA,106
"PABIR3","chrX_134832945_134833128_+","chrX_134829282_134838727_+","I",134832986,0.377,0.623,1,-1,0.042,0.118,"134833184","TE,polyASite,pAread",52,0.022,NA
"PAK3","chrX_111217501_111217675_+","chrX_111216558_111220358_+","II",111217512,0.181,0.819,0.138,-0.332,0.174,0.349,"111217632","pAread",255,0,NA
"PARP16","chr15_65248117_65248228_-","chr15_65234823_65259464_-","I",65248214,0.475,0.142,0.312,-0.19,0.098,0.227,"65247804","TE,polyASite,pAread",1244,0.142,NA
"PATE4","chr11_125835002_125835854_+","chr11_125833417_125837868_+","III",125835129,0,0.988,0,NA,NA,NA,"125835900","TE",NA,NA,109
"PCCA","chr13_100491650_100491747_+","chr13_100449305_100515427_+","III",100491673,0.105,0.895,0.041,0.291,0.981,1,"100491818","TE",NA,NA,590
"PCMTD1","chr8_51827235_51827361_-","chr8_51820718_51831444_-","III",51827351,0,1,0.233,NA,NA,NA,"51826929","TE",NA,NA,135
"PCNX2","chr1_233065445_233065661_-","chr1_233057290_233090061_-","III",233065643,0.062,0.938,0.675,0.296,0.858,1,"233065452","TE",NA,NA,219
"PCNX4","chr14_60133656_60133785_+","chr14_60125823_60133970_+","II",60133664,0,1,0.06,NA,NA,NA,"60133910","polyASite,pAread",61,0.051,NA
"PDSS2","chr6_107174899_107175044_-","chr6_107154777_107193822_-","II",107175009,0.008,0.992,0.001,0.031,0.569,0.904,"107164164","pAread",52,0,NA
"PDZD7","chr10_101017253_101017615_-","chr10_101016427_101018099_-","III",101017546,0.616,0.176,0.52,-0.861,0,0,"101017376","TE",NA,NA,132
"PDZD7","chr10_101017253_101017615_-","chr10_101016427_101018099_-","III",101017584,0.616,0.176,0.52,-0.861,0,0,"101017376","TE",NA,NA,132
"PGS1","chr17_78420214_78420323_+","chr17_78419675_78424061_+","II",78420229,0,1,0.117,NA,NA,NA,"78421191","pAread",80,0,NA
"PIBF1","chr13_72915572_72915690_+","chr13_72908681_72917076_+","I",72915609,0.121,0.879,0.082,0.099,0.755,1,"72915674","TE",0,0,NA
"PIBF1","chr13_72939848_72939934_+","chr13_72931267_72965274_+","I",72939850,0.051,0.949,0.056,-0.002,0.494,0.807,"72939934","TE,pAread",65,0,NA
"PIGF","chr2_46591803_46591925_-","chr2_46588179_46592475_-","III",46591908,0.424,0.128,0.783,0.657,1,1,"46591803","TE",NA,NA,481
"PIGG","chr4_521989_522410_+","chr4_521941_523459_+","III",522213,0.441,0.559,0.083,-0.492,0,0.001,"522843","TE",NA,NA,12829
"PIGG","chr4_536356_536988_+","chr4_533981_539153_+","II",536413,0,1,0.114,NA,NA,NA,"537142","polyASite,pAread",167,0.009,NA
"PIH1D2","chr11_112067795_112068005_-","chr11_112064221_112070436_-","I",112067871,0.878,0.122,0.132,-0.36,0.153,0.322,"112067780","TE,polyASite,pAread",703,0.49,NA
"PIP5K1C","chr19_3637536_3638006_-","chr19_3633520_3638884_-","III",3637824,0.622,0.378,0.139,-0.524,0,0,"3636104","TE",NA,NA,2839
"PITPNM2","chr12_123000309_123000478_-","chr12_122997572_123000778_-","III",123000380,0.419,0.581,0.5,-0.646,0,0,"123000303","TE",NA,NA,576
"PLA2G10","chr16_14678645_14678760_-","chr16_14672749_14688165_-","I",14678723,0,1,0.636,NA,NA,NA,"14678699","TE",0,0,NA
"PLA2G4C","chr19_48064874_48065036_-","chr19_48062152_48067791_-","III",48064984,0.049,0.951,0.004,0.153,0.853,1,"48064969","TE",NA,NA,199
"PLAA","chr9_26916436_26916705_-","chr9_26913947_26917097_-","III",26916670,0.009,0.991,0.07,0.235,0.952,1,"26915313","TE",NA,NA,2428
"PLEKHJ1","chr19_2233531_2233905_-","chr19_2230612_2233998_-","III",2233840,0.642,0.09,0.022,-0.687,0,0,"2233153","TE",NA,NA,1720
"POLG","chr15_89317939_89318037_-","chr15_89317536_89318541_-","II",89318013,0,1,0.218,NA,NA,NA,"89317759","polyASite,pAread",180,0.064,NA
"PP2D1","chr3_19984194_19984296_-","chr3_19980174_20001030_-","II",19984256,0,0.678,0,NA,NA,NA,"19981592","pAread",207,0,NA
"PP2D1","chr3_19987542_19987745_-","chr3_19980174_20001030_-","I",19987609,0,0.678,0,NA,NA,NA,"19985346","TE,pAread",1350,0,NA
"PPA2","chr4_105398432_105398867_-","chr4_105396334_105399037_-","III",105398859,0.076,0.924,0.01,0.144,0.844,1,"105398304","TE",NA,NA,140
"PPP2R1B","chr11_111738700_111741612_-","chr11_111737569_111742053_-","III",111741596,0.744,0.028,0.794,-0.934,0,0,"111737877","TE",NA,NA,1473
"PPP6R3","chr11_68578610_68580281_+","chr11_68576043_68583043_+","III",68578870,0.349,0.53,0.025,-0.246,0.041,0.118,"68582392","TE",NA,NA,396
"PPP6R3","chr11_68578610_68582202_+","chr11_68576043_68583043_+","III",68578870,0.349,0.53,0.025,-0.246,0.041,0.118,"68582392","TE",NA,NA,263
"PRKAR2A","chr3_48751795_48752112_-","chr3_48751718_48756379_-","III",48752002,0,1,0.795,NA,NA,NA,"48751725","TE",NA,NA,415
"PRKCE","chr2_46010684_46010814_+","chr2_46010517_46086208_+","III",46010737,0.646,0.354,0.467,-0.329,0.019,0.061,"46019128","TE",NA,NA,299
"PRR3","chr6_30561328_30561508_+","chr6_30558212_30561834_+","II",30561428,0.05,0.95,0.866,0.128,0.798,1,"30561760","polyASite,pAread",3017,2.674,NA
"PSMD1","chr2_231166381_231166491_+","chr2_231166017_231170566_+","I",231166395,0.105,0.895,0.002,-0.034,0.405,0.684,"231167229","TE",0,0,NA
"PTGR1","chr9_111564157_111564262_-","chr9_111563231_111570091_-","II",111564239,0.029,0.971,0.202,0.135,0.827,1,"111563822","polyASite,pAread",432,0.03,NA
"PTPRR","chr12_70672720_70672976_-","chr12_70662605_70684127_-","II",70672845,0,1,0.05,NA,NA,NA,"70671314","pAread",641,0,NA
"PUDP","chrX_7057521_7057823_-","chrX_7050472_7077220_-","III",7057707,0.016,0.984,0.017,0.068,0.679,1,"7057586","TE",NA,NA,606
"PUS1","chr12_131934644_131935037_+","chr12_131932833_131939173_+","III",131934741,0,1,0.59,NA,NA,NA,"131934928","TE",NA,NA,203
"PUS1","chr12_131934644_131935078_+","chr12_131932833_131939173_+","III",131934741,0,1,0.59,NA,NA,NA,"131934928","TE",NA,NA,127
"PUS1","chr12_131934644_131935119_+","chr12_131932833_131939173_+","III",131934741,0,1,0.59,NA,NA,NA,"131934928","TE",NA,NA,122
"PUS1","chr12_131934644_131935160_+","chr12_131932833_131939173_+","III",131934741,0,1,0.59,NA,NA,NA,"131934928","TE",NA,NA,120
"PUS1","chr12_131934644_131935201_+","chr12_131932833_131939173_+","III",131934741,0,1,0.59,NA,NA,NA,"131934928","TE",NA,NA,120
"PWWP2A","chr5_160089506_160089610_-","chr5_160080770_160093101_-","II",160089585,0.275,0.222,0.39,-0.287,0.021,0.064,"160085003","polyASite,pAread",98,0.038,NA
"RABGAP1L","chr1_174877392_174877605_+","chr1_174811960_174957457_+","II",174877424,0,1,0,NA,NA,NA,"174953056","pAread",52,0,NA
"RAC2","chr22_37227768_37227943_-","chr22_37226803_37231231_-","III",37227906,0.089,0.911,0.011,0.14,0.827,1,"37227768","TE",NA,NA,9998
"RAF1","chr3_12599113_12599225_-","chr3_12591792_12599691_-","II",12599185,0,1,0.016,NA,NA,NA,"12595877","pAread",117,0,NA
"RANBP17","chr5_170983065_170983245_+","chr5_170968377_171028872_+","I",170983097,0.263,0.599,0.251,0.033,0.544,0.874,"170984378","TE,polyASite,pAread",92,0.167,NA
"RAP1A","chr1_111706663_111706777_+","chr1_111704486_111709149_+","II",111706674,0.04,0.96,0.157,0.091,0.737,1,"111707398","polyASite,pAread",94,0.055,NA
"RAPGEF4","chr2_173036946_173037077_+","chr2_173036692_173048600_+","II",173036975,0.256,0.744,0.041,-0.39,0.006,0.025,"173037205","polyASite,pAread",442,0.001,NA
"RAPH1","chr2_203441823_203442080_-","chr2_203441413_203444868_-","III",203442078,0.24,0.529,0.405,0.428,0.966,1,"203441469","TE",NA,NA,410
"RAPH1","chr2_203441823_203442673_-","chr2_203441413_203444868_-","III",203442599,0.24,0.529,0.506,-0.265,0.136,0.295,"203441469","TE",NA,NA,410
"RBPMS","chr8_30547292_30547969_+","chr8_30544624_30549500_+","III",30547423,0.298,0.014,0.075,0.373,0.996,1,"30547519","TE",NA,NA,1888
"RBX1","chr22_40955287_40955446_+","chr22_40953633_40964047_+","II",40955288,0,1,0.057,NA,NA,NA,"40955440","polyASite,pAread",388,1.68,NA
"RECK","chr9_36113679_36113871_+","chr9_36112476_36116985_+","III",36113736,0,1,0.025,NA,NA,NA,"36114616","TE",NA,NA,284
"RGR","chr10_84255137_84255394_+","chr10_84254443_84257893_+","I",84255154,0.365,0.482,0.916,-0.202,0.276,0.498,"84255711","TE",0,0,NA
"RIPOR2","chr6_24840064_24840775_-","chr6_24839599_24842862_-","III",24840704,0.678,0.322,0.492,-0.272,0.063,0.152,"24839994","TE",NA,NA,923
"RMND1","chr6_151408643_151408900_-","chr6_151405836_151417279_-","II",151408766,0.055,0.945,0.107,0.05,0.636,0.97,"151407933","polyASite,pAread",62,0.002,NA
"RNF8","chr6_37369791_37369905_+","chr6_37369218_37371512_+","III",37369820,0.286,0.714,0.097,0.076,0.702,1,"37370247","TE",NA,NA,1123
"RNMT","chr18_13759942_13760208_+","chr18_13754147_13762039_+","II",13759979,0,1,0.23,NA,NA,NA,"13760266","polyASite,pAread",3930,4.908,NA
"ROPN1","chr3_123979364_123980604_-","chr3_123976981_123991922_-","III",123980305,0,1,0.062,NA,NA,NA,"123978675","TE",NA,NA,458
"RPAP2","chr1_92357557_92358043_+","chr1_92345914_92380724_+","III",92357596,0.013,0.987,0.067,-0.142,0.16,0.331,"92357898","TE",NA,NA,115
"RPL28","chr19_55387285_55387778_+","chr19_55386693_55387930_+","III",55387289,0.03,0.97,0.007,-0.085,0.277,0.498,"55387719","TE",NA,NA,2831
"RPRD1B","chr20_38087863_38088420_+","chr20_38066256_38089726_+","III",38088003,0,1,0.011,NA,NA,NA,"38089630","TE",NA,NA,3769
"RPS24","chr10_78040615_78040747_+","chr10_78037304_78054531_+","III",78040626,0.006,0,0.026,-0.303,0.016,0.052,"78040697","TE",NA,NA,1989
"RUFY1","chr5_179608285_179608465_+","chr5_179607659_179609376_+","II",179608389,0,1,0.168,NA,NA,NA,"179608640","pAread",99,0,NA
"RUFY1","chr5_179608490_179608616_+","chr5_179607659_179609376_+","II",179608510,0,1,0.085,NA,NA,NA,"179608640","pAread",297,0,NA
"RUFY3","chr4_70796663_70796746_+","chr4_70794894_70800141_+","III",70796689,0,1,0.094,NA,NA,NA,"70796940","TE",NA,NA,8778
"RUNDC3A","chr17_44317485_44317938_+","chr17_44316725_44318096_+","III",44317504,0.343,0.657,0.649,-0.715,0,0.001,"44317861","TE",NA,NA,16380
"RUNX2","chr6_45492881_45492962_+","chr6_45492114_45512246_+","III",45492900,0,1,0.471,NA,NA,NA,"45493860","TE",NA,NA,334
"RUNX2","chr6_45513450_45513653_+","chr6_45512407_45663115_+","I",45513475,0.145,0.206,0,NA,NA,NA,"45551055","TE,polyASite,pAread",25033,3.147,NA
"SARDH","chr9_133663652_133664014_-","chr9_133663525_133666735_-","I",133663889,0.245,0.09,0.061,-0.504,0.014,0.048,"133663540","TE,polyASite,pAread",3236,4.311,NA
"SCARA3","chr8_27676569_27676673_+","chr8_27659539_27698192_+","I",27676600,0.042,0.02,0.06,-0.113,0.227,0.423,"27676739","TE,polyASite,pAread",4742,2.685,NA
"SCIMP","chr17_5214579_5214836_-","chr17_5210955_5214925_-","III",5214727,0,1,0.138,NA,NA,NA,"5213009","TE",NA,NA,238
"SCUBE2","chr11_9022412_9024413_-","chr11_9021955_9025702_-","III",9024406,0.059,0.941,0.17,0.089,0.719,1,"9021983,9021984","TE",NA,NA,974
"SEC23A","chr14_39037466_39037608_-","chr14_39033328_39039031_-","III",39037570,0.158,0.842,0.017,0.232,0.949,1,"39037452,39037466","TE",NA,NA,1201
"SEC23A","chr14_39037470_39037608_-","chr14_39033328_39039031_-","III",39037570,0.158,0.842,0.017,0.232,0.949,1,"39037452,39037466","TE",NA,NA,1800
"SEM1","chr7_96656457_96656585_-","chr7_96506698_96694798_-","I",96656579,0,0,0,NA,NA,NA,"96621657","TE,polyASite,pAread",2055,0.848,NA
"SEMA4D","chr9_89377502_89379629_-","chr9_89377051_89381055_-","III",89378704,0.924,0.076,0.964,-0.819,0,0,"89377235","TE",NA,NA,649
"SERINC5","chr5_80116138_80116323_-","chr5_80113625_80146090_-","II",80116308,0.512,0.055,0.425,0.1,0.608,0.943,"80114202","pAread",99,0,NA
"SERP2","chr13_44390357_44390578_+","chr13_44379713_44397272_+","II",44390454,0.001,0.999,0.95,0.261,0.955,1,"44391086","polyASite,pAread",2084,0.213,NA
"SETD4","chr21_36043401_36043651_-","chr21_36041888_36043782_-","II",36043587,0.357,0.29,0.619,0.412,0.999,1,"36043582","polyASite,pAread",1204,0.179,NA
"SGSH","chr17_80209402_80211011_-","chr17_80207685_80212071_-","I",80210452,0.469,0.065,0.047,-0.574,0,0,"80209250","TE,polyASite,pAread",15957,15.722,NA
"SHCBP1","chr16_46597621_46598347_-","chr16_46595670_46599831_-","III",46598286,0.001,0.999,0.295,NA,NA,NA,"46597359","TE",NA,NA,285
"SHE","chr1_154483889_154484335_-","chr1_154470362_154485943_-","III",154484149,0.283,0.717,0.365,0.042,0.6,0.939,"154479481","TE",NA,NA,231
