ex	E	stop_cod	ss1.ate	ss4.ate	tr_id	ss1.junc	ss4.junc	reads	within_ex	UTR_len
chr2_96599653_96600503_-	-_96601643	96600474	96598160	96600425	CHS.30233.58	96598160	96600066	208	TRUE	408
chr12_131934644_131934928_+	131932833_-	131934741	131934790	131939173	CHS.13316.6	131935037	131939173	203	FALSE	296
chr12_29473221_29473405_-	-_29475061	29473401	29473103	29473352	CHS.11307.14	29473103	29473219	202	FALSE	182
chr3_44577305_44581652_+	44568433_-	44577372	44577421	44582972	CHS.37081.35	44581621	44582972	200	TRUE	4249
chr19_48064969_48065036_-	-_48067791	48064984	48062152	48064935	CHS.27148.19	48062152	48064874	199	FALSE	110
chr3_189880064_189881496_+	189872995_-	189880178	189880227	189886394	CHS.39269.31,CHS.39269.7	189880422	189886394	194	TRUE	244
chr3_189880064_189881503_+	189872995_-	189880178	189880227	189886394	CHS.39269.13,CHS.39269.9	189880422	189886394	194	TRUE	244
chr11_125922100_125922664_+	125921379_-	125922110	125922159	125922820	CHS.10359.19	125922220	125922820	190	TRUE	110
chr10_100986269_100986572_-	-_100986749	100986543	100984074	100986494	CHS.6996.21	100984074	100986299	186	TRUE	244
chr4_129109991_129110342_+	129109672_-	129110078	129110127	129111686	CHS.41331.18,CHS.41331.2	129110527	129111686	184	FALSE	449
chr4_129110131_129110342_+	129109672_-	129110149	129110198	129111686	CHS.41331.19	129110527	129111686	184	FALSE	378
chr2_159240360_159241876_-	-_159248372	159241863	159236190	159241814	CHS.31181.18	159236190	159241685	183	TRUE	178
chr22_19893908_19895200_-	-_19895407	19895133	19883461	19895084	CHS.35216.26,CHS.35216.27	19883461	19895001	182	TRUE	132
chr16_11149886_11151810_+	11126146_-	11149929	11149978	11156574	CHS.19080.10,CHS.19080.40	11150041	11156574	177	TRUE	112
chr16_67885974_67886368_+	67885854_-	67886259	67886308	67888667	CHS.20160.1	67886353	67888667	163	TRUE	94
chr10_73775419_73776219_+	73773815_-	73775515	73775564	73778828	CHS.6510.4	73775945	73778828	160	TRUE	430
chr10_73775541_73776219_+	73773815_-	73775685	73775734	73778828	CHS.6510.5	73775945	73778828	160	TRUE	260
chr19_52876172_52881983_-	-_52888127	52880596	52874072	52880547	CHS.27464.32,CHS.27464.36,CHS.27464.37,CHS.27464.38	52874072	52880446	157	TRUE	150
chr19_52876180_52881983_-	-_52888127	52880596	52874072	52880547	CHS.27464.13,CHS.27464.14,CHS.27464.15,CHS.27464.16,CHS.27464.17,CHS.27464.41,CHS.27464.42,CHS.27464.43,CHS.27464.45,CHS.27464.46,CHS.27464.52	52874072	52880446	157	TRUE	150
chr19_52880223_52881983_-	-_52888127	52880596	52874072	52880547	CHS.27464.11,CHS.27464.7	52874072	52880446	157	TRUE	150
chr3_12178359_12179398_+	12169906_-	12178586	12178635	12183312	CHS.36606.3	12178991	12183312	157	TRUE	405
chr12_63591489_63591936_-	-_63594087	63591897	63591127	63591848	CHS.12022.87,CHS.12022.88	63591127	63591818	150	TRUE	79
chr4_106091706_106091745_-	-_106095482	106091743	106046680	106091694	CHS.41053.35	106046680	106091321	149	FALSE	422
chr2_162360217_162363108_+	162359552_-	162360243	162360292	162371306	CHS.31231.1,CHS.31231.2,CHS.31231.4,CHS.31231.7	162361976	162371306	146	TRUE	1733
chr2_162360217_162363123_+	162359552_-	162360243	162360292	162371306	CHS.31231.12,CHS.31231.28,CHS.31231.29	162361976	162371306	146	TRUE	1733
chr3_131184702_131184773_+	131170887_-	131184751	131184800	131228528	CHS.38376.47	131184857	131228528	143	FALSE	106
chr3_56569313_56570671_+	56567053_-	56569362	56569411	56571181	CHS.37467.43	56569637	56571181	140	TRUE	275
chr4_105398304_105398867_-	-_105399037	105398859	105396334	105398810	CHS.41040.22	105396334	105398432	140	TRUE	427
chr19_10684416_10685765_+	10683970_-	10684465	10684514	10687346	CHS.25676.1,CHS.25676.16,CHS.25676.2,CHS.25676.58,CHS.25676.59,CHS.25676.6,CHS.25676.60	10685059	10687346	138	TRUE	594
chr19_10684859_10685765_+	10683970_-	10684872	10684921	10687346	CHS.25676.3,CHS.25676.50	10685059	10687346	138	TRUE	187
chr7_22934211_22946163_-	-_22960256	22945589	22920325	22945540	CHS.50095.6	22920325	22940972	137	TRUE	4617
chr6_8078494_8078740_-	-_8090186	8078678	8073510	8078629	CHS.45323.8	8073510	8078587	135	TRUE	91
chr8_51826929_51827361_-	-_51831444	51827351	51820718	51827302	CHS.53391.13	51820718	51827235	135	TRUE	116
chr6_97194316_97194438_-	-_97228894	97194435	97186690	97194386	CHS.47020.18	97186690	97194305	133	FALSE	130
chr10_101017376_101017615_-	-_101018099	101017584	101016427	101017535	CHS.6998.16	101016427	101017253	132	FALSE	331
chr10_101017376_101017615_-	-_101018099	101017546	101016427	101017497	CHS.6998.14	101016427	101017253	132	FALSE	293
chr19_52379421_52380075_+	52374427_-	52379530	52379579	52383849	CHS.27445.8	52379679	52383849	129	TRUE	149
chr6_132749043_132749366_-	-_132749695	132749358	132744491	132749309	CHS.47498.25	132744491	132749041	129	FALSE	317
chr17_6687353_6687836_-	-_6690779	6687777	6686338	6687728	CHS.21130.17	6686338	6687541	128	TRUE	236
chr12_131934644_131934928_+	131932833_-	131934741	131934790	131939173	CHS.13316.6	131935078	131939173	127	FALSE	337
chr13_46741642_46744898_+	46733998_-	46741848	46741897	46750540	CHS.14005.4,CHS.14005.5	46742243	46750540	126	TRUE	395
chr21_39396866_39397889_+	39393280_-	39396939	39396988	39405914	CHS.34779.1,CHS.34779.12,CHS.34779.13,CHS.34779.15,CHS.34779.2,CHS.34779.22,CHS.34779.8	39397155	39405914	126	TRUE	216
chr3_48933566_48937790_+	48927813_-	48933790	48933839	48944982	CHS.37237.52	48934951	48944982	124	TRUE	1161
chr12_131934644_131934928_+	131932833_-	131934741	131934790	131939173	CHS.13316.6	131935119	131939173	122	FALSE	378
chr12_131934644_131934928_+	131932833_-	131934741	131934790	131939173	CHS.13316.6	131935160	131939173	120	FALSE	419
chr12_131934644_131934928_+	131932833_-	131934741	131934790	131939173	CHS.13316.6	131935201	131939173	120	FALSE	460
chr16_89151792_89152758_+	89146049_-	89151846	89151895	89154090	CHS.20711.16	89151897	89154090	119	TRUE	51
chr12_29473221_29473405_-	-_29475061	29473401	29473103	29473352	CHS.11307.14	29473103	29473228	118	TRUE	173
chr4_145699187_145699222_+	145696632_-	145699215	145699264	145726911	CHS.41513.19	145699419	145726911	118	FALSE	204
chr6_57008181_57010948_+	56992555_-	57008203	57008252	57014462	CHS.46627.1	57008314	57014462	118	TRUE	111
chr4_8386520_8388372_-	-_8389173	8388308	8381607	8388259	CHS.39855.43	8381607	8386680	116	TRUE	1628
chr12_102154827_102155722_+	102153976_-	102154850	102154899	102164438	CHS.12584.102,CHS.12584.37	102154996	102164438	115	TRUE	146
chr12_102154827_102155722_+	102153989_-	102154918	102154967	102164438	CHS.12584.101	102154996	102164438	115	TRUE	78
chr1_92357557_92357898_+	92345914_-	92357596	92357645	92380724	CHS.2218.4	92358043	92380724	115	FALSE	447
chr19_39024021_39025554_-	-_39026870	39025411	39014547	39025362	CHS.26664.13,CHS.26664.15	39014547	39025156	113	TRUE	255
chr19_39024829_39025554_-	-_39026870	39025411	39014547	39025362	CHS.26664.16,CHS.26664.9	39014547	39025156	113	TRUE	255
chr4_8386520_8388372_-	-_8389173	8388308	8381607	8388259	CHS.39855.43	8381607	8388177	113	TRUE	131
chr16_3657906_3658095_+	3657816_-	3657953	3658002	3662646	CHS.18942.19,CHS.18942.26,CHS.18942.27,CHS.18942.64,CHS.18942.76	3658064	3662646	112	TRUE	111
chr1_54784551_54785644_-	-_54785983	54785546	54782477	54785497	CHS.1688.6	54782477	54784674	111	TRUE	872
chr1_227775789_227776970_+	227767083_-	227775881	227775930	227780527	CHS.4768.12,CHS.4768.13	227776725	227780527	110	TRUE	844
chr11_125835002_125835900_+	125833417_-	125835129	125835178	125837868	CHS.10355.1	125835854	125837868	109	TRUE	725
chr19_5894675_5894854_-	-_5896453	5894742	5893290	5894693	CHS.25446.10,CHS.25446.9	5893290	5894633	109	FALSE	109
chr3_121294724_121307789_+	121279956_-	121294854	121294903	121318475	CHS.38140.27	121296614	121318475	108	TRUE	1760
chr8_108230122_108233672_-	-_108234998	108233625	108229195	108233576	CHS.54201.17	108229195	108233133	108	TRUE	492
chrX_134831636_134833189_+	134829282_-	134831653	134831702	134838727	CHS.58826.78	134833128	134838727	106	TRUE	1475
chr14_73961084_73961550_-	-_73970010	73961533	73959553	73961484	CHS.15912.8	73959553	73961136	103	TRUE	397
chr1_65633152_65635428_+	65622981_-	65633169	65633218	65636191	CHS.1852.2,CHS.1852.8	65633902	65636191	102	TRUE	733
chr9_110308498_110308947_-	-_110326175	110308885	110304532	110308836	CHS.56446.10	110304532	110308813	102	TRUE	72
chr10_125791520_125794388_-	-_125794880	125794377	125789528	125794328	CHS.7482.31,CHS.7482.52	125789528	125792579	101	TRUE	1798
chr1_206454144_206454700_+	206453380_-	206454156	206454205	206454878	CHS.4321.22,CHS.4321.44	206454617	206454878	101	TRUE	461
chr3_44577305_44581652_+	44568433_-	44577372	44577421	44582972	CHS.37081.35	44577460	44582972	101	TRUE	88
chr9_69072612_69079076_+	69065035_-	69072762	69072811	69099901	CHS.55708.2	69072830	69099901	101	TRUE	68
